step,reward,tploss,action_a,action_f,A,f,expr
13,0.19704740611453403,0.30295259388546597,1.0,-0.08267612755298615,96.63390308618546,-30.188067257404327,96.63[m s^-1] | -30.19[m s^-1]
14,0.22434753588684497,0.275652464113155,1.0,-1.0,116.63390308618546,-50.18806725740433,116.63[m s^-1] | -50.19[m s^-1]
15,0.287702890181826,0.212297109818174,-1.0,0.24593614041805267,96.63390308618546,-45.269344449043274,96.63[m s^-1] | -45.27[m s^-1]
16,0.302360861015169,0.19763913898483101,0.8187207579612732,0.573127806186676,113.00831824541092,-33.80678832530975,113.01[m s^-1] | -33.81[m s^-1]
17,0.262581775924672,0.23741822407532798,-0.18338364362716675,-0.8098978996276855,109.34064537286758,-50.004746317863464,109.34[m s^-1] | -50.00[m s^-1]
18,0.190815802506078,0.309184197493922,1.0,-1.0,129.34064537286758,-70.00474631786346,129.34[m s^-1] | -70.00[m s^-1]
19,0.12923287412560197,0.37076712587439803,-0.5820332765579224,-0.8950169086456299,117.69997984170914,-87.90508449077606,117.70[m s^-1] | -87.91[m s^-1]
20,0.124806841833911,0.375193158166089,1.0,1.0,137.69997984170914,-67.90508449077606,137.70[m s^-1] | -67.91[m s^-1]
21,0.03583097848322203,0.46416902151677797,1.0,-0.008838875219225883,157.69997984170914,-68.08186199516058,157.70[m s^-1] | -68.08[m s^-1]
22,-0.003961229335984973,0.503961229335985,-0.3100327253341675,-0.655802309513092,151.4993253350258,-81.19790818542242,151.50[m s^-1] | -81.20[m s^-1]
23,-0.126735920620361,0.626735920620361,0.5535839200019836,-0.9592199325561523,162.57100373506546,-100.0,162.57[m s^-1] | -100.00[m s^-1]
24,-0.20365419412063102,0.703654194120631,1.0,-0.70810866355896,182.57100373506546,-100.0,182.57[m s^-1] | -100.00[m s^-1]
25,-0.28289381184930296,0.782893811849303,1.0,1.0,202.57100373506546,-80.0,202.57[m s^-1] | -80.00[m s^-1]
26,-0.45493033957336393,0.9549303395733639,1.0,0.32624346017837524,222.57100373506546,-73.4751307964325,222.57[m s^-1] | -73.48[m s^-1]
27,-0.6119405051284521,1.111940505128452,1.0,1.0,242.57100373506546,-53.475130796432495,242.57[m s^-1] | -53.48[m s^-1]
28,-0.6348013769937231,1.134801376993723,1.0,0.6870920062065125,250.0,-39.733290672302246,250.00[m s^-1] | -39.73[m s^-1]
29,-0.453810695820126,0.953810695820126,-0.4921647310256958,1.0,240.15670537948608,-19.733290672302246,240.16[m s^-1] | -19.73[m s^-1]
30,-0.502584912391633,1.002584912391633,1.0,-0.044880036264657974,250.0,-20.630891397595406,250.00[m s^-1] | -20.63[m s^-1]
31,-0.21784380654134794,0.7178438065413479,-1.0,-0.13895520567893982,230.0,-23.409995511174202,230.00[m s^-1] | -23.41[m s^-1]
32,-0.081385795010944,0.581385795010944,-0.5560653209686279,0.13232800364494324,218.87869358062744,-20.763435438275337,218.88[m s^-1] | -20.76[m s^-1]
33,-0.172807143646188,0.672807143646188,0.41945141553878784,-0.24074645340442657,227.2677218914032,-25.57836450636387,227.27[m s^-1] | -25.58[m s^-1]
34,-0.321223315996103,0.821223315996103,1.0,0.8675858974456787,247.2677218914032,-8.226646557450294,247.27[m s^-1] | -8.23[m s^-1]
35,-0.34673621930101906,0.846736219301019,0.6089512705802917,1.0,250.0,11.773353442549706,250.00[m s^-1] | 11.77[m s^-1]
36,-0.34442709521273296,0.844427095212733,0.15494561195373535,0.1718500405550003,250.0,15.210354253649712,250.00[m s^-1] | 15.21[m s^-1]
37,-0.12132928982285796,0.621329289822858,-0.586898684501648,1.0,238.26202630996704,35.21035425364971,238.26[m s^-1] | 35.21[m s^-1]
38,-0.07512799831636396,0.575127998316364,0.1255742907524109,1.0,240.77351212501526,55.21035425364971,240.77[m s^-1] | 55.21[m s^-1]
39,-0.009041948167128,0.509041948167128,-0.32526183128356934,-1.0,234.26827549934387,35.21035425364971,234.27[m s^-1] | 35.21[m s^-1]
40,0.02217309554425695,0.47782690445574305,-0.05603063106536865,-0.18102708458900452,233.1476628780365,31.58981256186962,233.15[m s^-1] | 31.59[m s^-1]
41,-0.20502188328414206,0.7050218832841421,1.0,-0.5938037633895874,250.0,19.713737294077873,250.00[m s^-1] | 19.71[m s^-1]
42,-0.275098414381695,0.775098414381695,0.9407263994216919,-0.6592496633529663,250.0,6.528744027018547,250.00[m s^-1] | 6.53[m s^-1]
43,-0.360483533013377,0.860483533013377,0.3572382628917694,-1.0,250.0,-13.471255972981453,250.00[m s^-1] | -13.47[m s^-1]
44,-0.338110761992924,0.838110761992924,-0.12438994646072388,0.9502484202384949,247.51220107078552,5.5337124317884445,247.51[m s^-1] | 5.53[m s^-1]
45,-0.35871197048385095,0.858711970483851,0.9230003356933594,-0.06470820307731628,250.0,4.239548370242119,250.00[m s^-1] | 4.24[m s^-1]
46,-0.42366134801801403,0.923661348018014,0.4711145758628845,-1.0,250.0,-15.760451629757881,250.00[m s^-1] | -15.76[m s^-1]
47,-0.29125371776476605,0.791253717764766,-0.6058295369148254,0.24908402562141418,237.8834092617035,-10.778771117329597,237.88[m s^-1] | -10.78[m s^-1]
48,-0.39376438535939007,0.8937643853593901,0.4549524784088135,-0.5407146215438843,246.98245882987976,-21.593063548207283,246.98[m s^-1] | -21.59[m s^-1]
49,-0.41906745022245606,0.9190674502224561,1.0,-0.06450113654136658,250.0,-22.883086279034615,250.00[m s^-1] | -22.88[m s^-1]
50,-0.453086080631772,0.953086080631772,0.12394106388092041,-1.0,250.0,-42.883086279034615,250.00[m s^-1] | -42.88[m s^-1]
51,-0.48686093280352893,0.9868609328035289,1.0,-0.2554076313972473,250.0,-47.99123890697956,250.00[m s^-1] | -47.99[m s^-1]
52,-0.40655347043589396,0.906553470435894,0.7403424978256226,1.0,250.0,-27.99123890697956,250.00[m s^-1] | -27.99[m s^-1]
53,-0.36527965713698596,0.865279657136986,1.0,1.0,250.0,-7.991238906979561,250.00[m s^-1] | -7.99[m s^-1]
54,-0.38207022377746,0.88207022377746,-0.039371490478515625,-1.0,249.2125701904297,-27.99123890697956,249.21[m s^-1] | -27.99[m s^-1]
55,-0.370610407818488,0.870610407818488,1.0,-0.849818229675293,250.0,-44.98760350048542,250.00[m s^-1] | -44.99[m s^-1]
56,-0.32772923667226306,0.8277292366722631,1.0,-1.0,250.0,-64.98760350048542,250.00[m s^-1] | -64.99[m s^-1]
57,-0.33607366763987,0.83607366763987,1.0,-1.0,250.0,-84.98760350048542,250.00[m s^-1] | -84.99[m s^-1]
58,-0.302971739641375,0.802971739641375,1.0,1.0,250.0,-64.98760350048542,250.00[m s^-1] | -64.99[m s^-1]
59,-0.281654636141893,0.781654636141893,1.0,1.0,250.0,-44.98760350048542,250.00[m s^-1] | -44.99[m s^-1]
60,-0.291255056722012,0.791255056722012,-0.000932157039642334,0.20154385268688202,249.98135685920715,-40.95672644674778,249.98[m s^-1] | -40.96[m s^-1]
61,-0.21683019302483997,0.71683019302484,-0.21827560663223267,0.6140811443328857,245.6158447265625,-28.675103560090065,245.62[m s^-1] | -28.68[m s^-1]
62,-0.1905290629253551,0.6905290629253551,0.9132741689682007,0.609881579875946,250.0,-16.477471962571144,250.00[m s^-1] | -16.48[m s^-1]
63,-0.17765935522723797,0.677659355227238,-0.12899911403656006,-1.0,247.4200177192688,-36.477471962571144,247.42[m s^-1] | -36.48[m s^-1]
64,-0.186723786291904,0.686723786291904,1.0,-0.25621357560157776,250.0,-41.6017434746027,250.00[m s^-1] | -41.60[m s^-1]
65,-0.15712312413625906,0.6571231241362591,1.0,0.7315539717674255,250.0,-26.97066403925419,250.00[m s^-1] | -26.97[m s^-1]
66,-0.13628866846863597,0.636288668468636,0.9627684354782104,1.0,250.0,-6.9706640392541885,250.00[m s^-1] | -6.97[m s^-1]
67,-0.12142113617000405,0.621421136170004,-0.17738622426986694,0.24900487065315247,246.45227551460266,-1.9905666261911392,246.45[m s^-1] | -1.99[m s^-1]
68,-0.16679804083203797,0.666798040832038,1.0,-1.0,250.0,-21.99056662619114,250.00[m s^-1] | -21.99[m s^-1]
69,-0.08078059169839702,0.580780591698397,-1.0,-0.7654245495796204,230.0,-37.29905761778355,230.00[m s^-1] | -37.30[m s^-1]
70,-0.149466851221553,0.649466851221553,1.0,-0.10716593265533447,250.0,-39.442376270890236,250.00[m s^-1] | -39.44[m s^-1]
71,-0.19270811810117505,0.692708118101175,0.921622633934021,-1.0,250.0,-59.442376270890236,250.00[m s^-1] | -59.44[m s^-1]
72,-0.17580105678693703,0.675801056786937,0.5362462997436523,1.0,250.0,-39.442376270890236,250.00[m s^-1] | -39.44[m s^-1]
73,-0.23235243735371003,0.73235243735371,0.5655779242515564,-0.39039379358291626,250.0,-47.25025214254856,250.00[m s^-1] | -47.25[m s^-1]
74,-0.2042895120294521,0.7042895120294521,0.633691132068634,1.0,250.0,-27.25025214254856,250.00[m s^-1] | -27.25[m s^-1]
75,-0.17688967379375198,0.676889673793752,-0.8110697865486145,-1.0,233.7786042690277,-47.25025214254856,233.78[m s^-1] | -47.25[m s^-1]
76,-0.17318606665483194,0.6731860666548319,0.2750307321548462,1.0,239.27921891212463,-27.25025214254856,239.28[m s^-1] | -27.25[m s^-1]
77,-0.200109069267161,0.700109069267161,-0.06265974044799805,-1.0,238.02602410316467,-47.25025214254856,238.03[m s^-1] | -47.25[m s^-1]
78,-0.25893584254811197,0.758935842548112,1.0,-0.047664571553468704,250.0,-48.203543573617935,250.00[m s^-1] | -48.20[m s^-1]
79,-0.271173726859652,0.771173726859652,1.0,0.4582546055316925,250.0,-39.038451462984085,250.00[m s^-1] | -39.04[m s^-1]
80,-0.3009826907276819,0.8009826907276819,0.9696426391601562,-0.9359361529350281,250.0,-57.75717452168465,250.00[m s^-1] | -57.76[m s^-1]
81,-0.3221713113380449,0.8221713113380449,1.0,0.06362751871347427,250.0,-56.48462414741516,250.00[m s^-1] | -56.48[m s^-1]
82,-0.29323857730970504,0.793238577309705,1.0,0.5315365791320801,250.0,-45.85389256477356,250.00[m s^-1] | -45.85[m s^-1]
83,-0.333811850632886,0.833811850632886,0.902012050151825,-1.0,250.0,-65.85389256477356,250.00[m s^-1] | -65.85[m s^-1]
84,-0.32882732546623905,0.828827325466239,-0.4467138648033142,-0.29896456003189087,241.06572270393372,-71.83318376541138,241.07[m s^-1] | -71.83[m s^-1]
85,-0.32813560256433205,0.828135602564332,-0.6149193048477173,-0.5567727088928223,228.76733660697937,-82.96863794326782,228.77[m s^-1] | -82.97[m s^-1]
86,-0.3490955399417289,0.8490955399417289,0.509379506111145,0.6952677965164185,238.95492672920227,-69.06328201293945,238.95[m s^-1] | -69.06[m s^-1]
87,-0.4379141448640591,0.9379141448640591,1.0,-0.6763167977333069,250.0,-82.58961796760559,250.00[m s^-1] | -82.59[m s^-1]
88,-0.45336519415809007,0.9533651941580901,1.0,0.47671815752983093,250.0,-73.05525481700897,250.00[m s^-1] | -73.06[m s^-1]
89,-0.49260859876814,0.99260859876814,0.9994572997093201,-1.0,250.0,-93.05525481700897,250.00[m s^-1] | -93.06[m s^-1]
90,-0.40996153694996307,0.9099615369499631,-0.38165777921676636,1.0,242.36684441566467,-73.05525481700897,242.37[m s^-1] | -73.06[m s^-1]
91,-0.501627843703621,1.001627843703621,1.0,-1.0,250.0,-93.05525481700897,250.00[m s^-1] | -93.06[m s^-1]
92,-0.552568193010412,1.052568193010412,1.0,-0.9010329842567444,250.0,-100.0,250.00[m s^-1] | -100.00[m s^-1]
93,-0.507927768203998,1.007927768203998,-0.17406529188156128,0.9060254096984863,246.51869416236877,-81.87949180603027,246.52[m s^-1] | -81.88[m s^-1]
94,-0.504789095406877,1.004789095406877,0.5647869110107422,0.3651447892189026,250.0,-74.57659602165222,250.00[m s^-1] | -74.58[m s^-1]
95,-0.5220192528024421,1.022019252802442,1.0,0.1416550576686859,250.0,-71.7434948682785,250.00[m s^-1] | -71.74[m s^-1]
96,-0.5649848314303552,1.0649848314303552,0.934829831123352,-0.606380045413971,250.0,-83.87109577655792,250.00[m s^-1] | -83.87[m s^-1]
97,-0.5839422300136832,1.0839422300136832,0.680632472038269,-0.49928927421569824,250.0,-93.85688126087189,250.00[m s^-1] | -93.86[m s^-1]
98,-0.5837617762509462,1.0837617762509462,1.0,-0.45677536725997925,250.0,-100.0,250.00[m s^-1] | -100.00[m s^-1]
99,-0.578890938134657,1.078890938134657,0.11938327550888062,1.0,250.0,-80.0,250.00[m s^-1] | -80.00[m s^-1]
100,-0.647958942906649,1.147958942906649,-0.05251377820968628,0.11904958635568619,248.94972443580627,-77.61900827288628,248.95[m s^-1] | -77.62[m s^-1]
101,-0.731392390370003,1.231392390370003,1.0,0.40042394399642944,250.0,-69.61052939295769,250.00[m s^-1] | -69.61[m s^-1]
102,-0.770926084353964,1.270926084353964,0.691386878490448,0.9112769365310669,250.0,-51.38499066233635,250.00[m s^-1] | -51.38[m s^-1]
103,-0.7621082030526378,1.2621082030526378,0.704556405544281,0.8083831071853638,250.0,-35.217328518629074,250.00[m s^-1] | -35.22[m s^-1]
104,-0.6831049341255679,1.183104934125568,0.5155344009399414,-0.08126655220985413,250.0,-36.84265956282616,250.00[m s^-1] | -36.84[m s^-1]
105,-0.6852841192904471,1.185284119290447,0.21475350856781006,-0.0797763466835022,250.0,-38.4381864964962,250.00[m s^-1] | -38.44[m s^-1]
